change_id,date_applied,category,feature,description,affected_tables,affected_entity_ids,original_value,new_value,source_file,notes
10a,2026-05-23,Spell,spellduration ID 3 — 1 Hour,Mana Spring Totem duration,spellduration,3,~60000ms (1 min),3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
10b,2026-05-23,Spell,spellduration ID 4 — 1 Hour,Battle Shout + totem placement spells,spellduration,4,~120000ms (2 min),3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
10c,2026-05-23,Spell,spellduration ID 6 — 1 Hour,Regular Blessings + Shadow Protection,spellduration,6,~300000ms (5 min),3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
10d,2026-05-23,Spell,spellduration ID 21 — 1 Hour,Aspects + Trueshot Aura + totem buff auras,spellduration,21,permanent/0 or very long,3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
10e,2026-05-23,Spell,spellduration ID 30 — 1 Hour,Mark of the Wild + PW:Fortitude + Arcane Intellect + Greater Blessings,spellduration,30,1800000ms (30 min),3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
10f,2026-05-23,Spell,spellduration ID 40 — 1 Hour,Prayer of Shadow Protection,spellduration,40,1800000ms (30 min),3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
10g,2026-05-23,Spell,spellduration ID 42 — 1 Hour,Arcane Brilliance + Gift of the Wild + Prayer buffs,spellduration,42,1800000ms (30 min),3600000ms,tmp_fix_gossip_and_buffs.sql,See change 10
11,2026-05-23,NPC,Wandering Ancestor — Creation,Created custom NPC entry 65022 'The Wandering Ancestor' (Spirit Guide) as gossip-only teleport NPC,creature_template,65022,did not exist,"Tauren Elder model (display_id 4306), faction 35, npc_flags=1 (gossip), rank=0",tmp_hearth_companion.sql,Entry 65022 chosen as custom range above retail max
12,2026-05-23,NPC,Wandering Ancestor — Gossip Menus,Created 4 gossip menus (main + 3 sub-pages) and linked NPC text entries,"npc_text, gossip_menu","menu_ids 65022-65025, npc_text IDs 2600001-2600004",did not exist,Main / Kalimdor / Eastern Kingdoms / Starting Zones sub-menus,tmp_hearth_companion.sql,Sub-menu IDs 65023-65025 are action_menu_id targets from parent options
13,2026-05-23,NPC,Wandering Ancestor — Teleport Destinations (Kalimdor),16 Horde Kalimdor teleport destinations via gossip_scripts (command 6 = TELEPORT_TO),"gossip_menu_option, gossip_scripts","script IDs 6200001-6200016","Orgrimmar, Thunder Bluff, The Crossroads, Camp Taurajo, Ratchet, Brackenwall Village, Mudsprocket, Camp Mojache, Shadowprey Village, Stonetalon Peak, Splintertree Post, Zoram'gar Outpost, Freewind Post, Gadgetzan, Everlook, Cenarion Hold + < Back",n/a (new),tmp_hearth_companion.sql,All map=1 (Kalimdor). Coordinates verified in-game.
14,2026-05-23,NPC,Wandering Ancestor — Teleport Destinations (Eastern Kingdoms),10 Horde EK teleport destinations,"gossip_menu_option, gossip_scripts","script IDs 6200017-6200026","Undercity, Brill, The Sepulcher, Tarren Mill, Hammerfall, Revantusk Village, Grom'gol, Booty Bay, Stonard, Kargath + < Back",n/a (new),tmp_hearth_companion.sql,All map=0 (Eastern Kingdoms)
15,2026-05-23,NPC,Wandering Ancestor — Teleport Destinations (Starting Zones),3 Horde starting zone teleport destinations,"gossip_menu_option, gossip_scripts","script IDs 6200027-6200029","Valley of Trials (Orc/Troll), Camp Narache (Tauren), Deathknell (Undead) + < Back",n/a (new),tmp_hearth_companion.sql,Mixed maps: Valley of Trials + Camp Narache = map 1; Deathknell = map 0
16,2026-05-23,NPC,Wandering Ancestor — gossip_menu_id Fix,Set gossip_menu_id on creature_template to 65022 so gossip menu actually displays when right-clicking NPC,creature_template,65022,0 (no menu),65022,tmp_fix_gossip_and_buffs.sql,gossip_menu_id must match the entry in gossip_menu table; omitted in initial creation script
17,2026-05-23,NPC,Thornmantle Family — Elite Ranks,Buffed Chief Sharptusk Thornmantle to Boss (rank 3) and Squealer Thornmantle to Elite (rank 1) with stat multipliers,creature_template,"8554 (Chief Thornmantle), 3229 (Squealer)","rank=0, base stats","Chief: rank=3 +50% hp/dmg/armor; Squealer: rank=1 +25% hp/dmg/armor",tmp_thornmantle_buff.sql,Gives them the Gold Dragon and Silver Dragon UI frames respectively
18,2026-05-25,NPC,Wandering Ancestor — Banker,Added banker NPC flag and gossip option (bank deposit box) to NPC 65022,"creature_template, gossip_menu_option",65022,"npc_flags=1 (gossip only)","npc_flags=257 (gossip|banker), new option id=4 'I would like to check my deposit box.'",tmp_wandering_ancestor_bank.sql,option_icon=6 (money bag); option_id=9 = GOSSIP_OPTION_BANKER; npc_option_npcflag=256
19,2026-05-25,NPC,Wandering Ancestor — All Professions Trainer,Added all-profession trainer capability to NPC 65022 by copying spells from 12 existing trainer NPCs,"creature_template, gossip_menu_option, npc_trainer",65022,"npc_flags=257, trainer_type=0","npc_flags=273 (gossip|trainer|banker), trainer_type=2; new gossip option id=5 'Train me.'",tmp_wandering_ancestor_trainer.sql,"Professions: Alchemy(5032), Blacksmithing(2836), Enchanting(5038), Engineering(5037), Herbalism(812), Leatherworking(5040), Mining(3175), Skinning(6288), Tailoring(5041), Cooking(1699), First Aid(2326), Fishing(1651)"
20,2026-05-25,NPC,Wandering Ancestor — Survival Trainer,Copied all Survival profession spells from Sylvan Gemcrafter (22220) to NPC 65022,npc_trainer,65022,not trained,"Apprentice/Journeyman/Expert/Artisan Survival (spell IDs 30219/30223/30225/30227)",tmp_wandering_ancestor_survival.sql,Survival is a Turtle WoW custom profession; sourced from entry 22220 which is the only Survival trainer in the DB
21,2026-05-25,Spell,Find Resources — Custom Spell,Created custom spell 62000 'Find Resources' that simultaneously tracks Herbs + Minerals + Trees via three SPELL_AURA_TRACK_RESOURCES effects,"spell_template, npc_trainer",62000,did not exist,"spell_template entry 62000; durationIndex=21 (permanent); 3x effect6/aura45: miscValue 2(herbs)/3(minerals)/20(trees); trained free at NPC 65022",tmp_wandering_ancestor_find_resources.sql,"Atomically applies all 3 tracking auras so the engine's 'remove other trackers' pass fires once before — never cancels its own effects. Requires no reqskill/reqlevel."
22,2026-05-25,Spell,Swift Stride — 12 Rank Speed Buff (DB),Created 12 custom speed buff spells (62010-62021) in spell_template and spell_chain and added them to NPC 65022 trainer,"spell_template, spell_chain, npc_trainer","62010 (Rank 1) through 62021 (Rank 12)",did not exist,"+5% run speed per rank (effectBasePoints1 = desired_pct - 1); durationIndex=21 (permanent); learned at levels 5/10/15/.../60 from NPC 65022; free",tmp_wandering_ancestor_swift_stride.sql,spell_chain set up so learning higher rank supersedes lower rank. effectApplyAuraName1=31 (MOD_INCREASE_SPEED).
23,2026-05-25,DBC,Swift Stride — Spell.dbc Patch (Client + Server),Injected 12 new spell records (62010-62021) into both client and server Spell.dbc binary files using Sprint (2983) as template record,"Spell.dbc (client + server)","62010-62021",not present in DBC,"12 records appended; SpellName='Swift Stride'; SpellRank='Rank N'; effectBasePoints1=4/9/14/19/24/29/34/39/44/49/54/59; aura=31 (MOD_INCREASE_SPEED); durationIndex=21; cooldown=0",patch_swift_stride_dbc.ps1,"Client DBC: C:\TurtleWoW\client\dbc\Spell.dbc; Server DBC: C:\TurtleWoW\server\data\dbc\Spell.dbc. Originals backed up as .bak before patching. Script is idempotent — skips if ID 62010 already present."
24,n/a,Reference,Mulgore Named NPC Scan — Query Only,Diagnostic queries to identify named NPCs in Mulgore not tied to any quest (kill target / quest giver / quest ender),n/a — SELECT only,map=1 Mulgore bbox,n/a,n/a,"tmp_mulgore_named_scan.sql, tmp_mulgore_v2.sql",Not a change — read-only analysis scripts. v2 adds loot-based quest item detection and NPC flag exclusion. Results used to identify interesting mobs in zone.
25,n/a,Reference,Restore Original Quest XP — Reference Data,Large reference INSERT of original quest RewXP values for all quests (used to restore after any XP rate experiments),quest_template,all quest entries,current (possibly modified),original retail XP values,tmp_restore_rewxp.sql,"Read-only reference / recovery script. Not confirmed as applied — check DB before running. ~600+ quest entries captured."
